"","pais","sexo","rango_edad","tasa_suicidio"
"1115","Argentina"," Male","60to69",17.2
"1116","Argentina"," Female","60to69",3.9
"1117","Armenia"," Both sexes","60to69",10.1
"1118","Armenia"," Male","60to69",17.8
"1119","Armenia"," Female","60to69",4.4
"1120","Australia"," Both sexes","60to69",12.9
"1121","Australia"," Male","60to69",19.8
"1122","Australia"," Female","60to69",6.2
"1123","Austria"," Both sexes","60to69",17.8
"1124","Austria"," Male","60to69",27.4
"1125","Austria"," Female","60to69",9
"1126","Azerbaijan"," Both sexes","60to69",4.5
"1127","Azerbaijan"," Male","60to69",7.3
"1128","Azerbaijan"," Female","60to69",2.1
"1129","Bahamas"," Both sexes","60to69",2.6
"1130","Bahamas"," Male","60to69",4.8
"1131","Bahamas"," Female","60to69",0.9
"1132","Bahrain"," Both sexes","60to69",6.2
"1133","Bahrain"," Male","60to69",8.2
"1134","Bahrain"," Female","60to69",3.2
"1135","Bangladesh"," Both sexes","60to69",7.7
"1136","Bangladesh"," Male","60to69",9.3
"1137","Bangladesh"," Female","60to69",6.1
"1138","Barbados"," Both sexes","60to69",0
"1139","Barbados"," Male","60to69",0
"1140","Barbados"," Female","60to69",0
"1141","Belarus"," Both sexes","60to69",32
"1142","Belarus"," Male","60to69",65.3
"1143","Belarus"," Female","60to69",8.9
"1144","Belgium"," Both sexes","60to69",24.2
"1145","Belgium"," Male","60to69",32.7
"1146","Belgium"," Female","60to69",16.2
"1147","Belize"," Both sexes","60to69",15.1
"1148","Belize"," Male","60to69",25.9
"1149","Belize"," Female","60to69",4.1
"1150","Benin"," Both sexes","60to69",36.6
"1151","Benin"," Male","60to69",47.3
"1152","Benin"," Female","60to69",27.6
"1153","Bhutan"," Both sexes","60to69",12.6
"1154","Bhutan"," Male","60to69",13.8
"1155","Bhutan"," Female","60to69",11.2
"1156","Bolivia (Plurinational State of)"," Both sexes","60to69",15
"1157","Bolivia (Plurinational State of)"," Male","60to69",20.2
"1158","Bolivia (Plurinational State of)"," Female","60to69",10
"1159","Bosnia and Herzegovina"," Both sexes","60to69",12.7
"1160","Bosnia and Herzegovina"," Male","60to69",22.7
"1161","Bosnia and Herzegovina"," Female","60to69",4.2
"1162","Botswana"," Both sexes","60to69",21.8
"1163","Botswana"," Male","60to69",33.4
"1164","Botswana"," Female","60to69",12.9
"1165","Brazil"," Both sexes","60to69",9.2
"1166","Brazil"," Male","60to69",14.6
"1167","Brazil"," Female","60to69",4.7
"1168","Brunei Darussalam"," Both sexes","60to69",7.3
"1169","Brunei Darussalam"," Male","60to69",9.1
"1170","Brunei Darussalam"," Female","60to69",5.6
"1171","Bulgaria"," Both sexes","60to69",15.4
"1172","Bulgaria"," Male","60to69",27.3
"1173","Bulgaria"," Female","60to69",5.5
"1174","Burkina Faso"," Both sexes","60to69",37.7
"1175","Burkina Faso"," Male","60to69",54.9
"1176","Burkina Faso"," Female","60to69",25.7
"1177","Burundi"," Both sexes","60to69",31
"1178","Burundi"," Male","60to69",45.2
"1179","Burundi"," Female","60to69",17.3
"1180","Cabo Verde"," Both sexes","60to69",44.4
"1181","Cabo Verde"," Male","60to69",73.2
"1182","Cabo Verde"," Female","60to69",22.2
"1183","Cambodia"," Both sexes","60to69",10.2
"1184","Cambodia"," Male","60to69",14.8
"1185","Cambodia"," Female","60to69",7.1
"1186","Cameroon"," Both sexes","60to69",46.3
"1187","Cameroon"," Male","60to69",55.5
"1188","Cameroon"," Female","60to69",38
"1189","Canada"," Both sexes","60to69",13.6
"1190","Canada"," Male","60to69",21.2
"1191","Canada"," Female","60to69",6.2
"1192","Central African Republic"," Both sexes","60to69",23.8
"1193","Central African Republic"," Male","60to69",35.1
"1194","Central African Republic"," Female","60to69",14.1
"1195","Chad"," Both sexes","60to69",33.3
"1196","Chad"," Male","60to69",29.7
"1197","Chad"," Female","60to69",36.4
"1198","Chile"," Both sexes","60to69",12.9
"1199","Chile"," Male","60to69",22.7
"1200","Chile"," Female","60to69",4.1
"1201","China"," Both sexes","60to69",23.4
"1202","China"," Male","60to69",24.2
"1203","China"," Female","60to69",22.6
"1204","Colombia"," Both sexes","60to69",8.7
"1205","Colombia"," Male","60to69",16.2
"1206","Colombia"," Female","60to69",2.3
"1207","Comoros"," Both sexes","60to69",28.1
"1208","Comoros"," Male","60to69",43.5
"1209","Comoros"," Female","60to69",13.9
"1210","Congo"," Both sexes","60to69",22.4
"1211","Congo"," Male","60to69",33.5
"1212","Congo"," Female","60to69",12.2
"1213","Costa Rica"," Both sexes","60to69",8.3
"1214","Costa Rica"," Male","60to69",15.6
"1215","Costa Rica"," Female","60to69",1.3
"1216","Côte d'Ivoire"," Both sexes","60to69",51.8
"1217","Côte d'Ivoire"," Male","60to69",67.3
"1218","Côte d'Ivoire"," Female","60to69",33
"1219","Croatia"," Both sexes","60to69",25.5
"1220","Croatia"," Male","60to69",38.6
"1221","Croatia"," Female","60to69",14
"1222","Cuba"," Both sexes","60to69",25.7
"1223","Cuba"," Male","60to69",39.9
"1224","Cuba"," Female","60to69",12
"1225","Cyprus"," Both sexes","60to69",8.9
"1226","Cyprus"," Male","60to69",12.9
"1227","Cyprus"," Female","60to69",5
"1228","Czechia"," Both sexes","60to69",17
"1229","Czechia"," Male","60to69",28.5
"1230","Czechia"," Female","60to69",6.8
"1231","Democratic People's Republic of Korea"," Both sexes","60to69",26.3
"1232","Democratic People's Republic of Korea"," Male","60to69",46.5
"1233","Democratic People's Republic of Korea"," Female","60to69",10.2
"1234","Democratic Republic of the Congo"," Both sexes","60to69",23.4
"1235","Democratic Republic of the Congo"," Male","60to69",34.2
"1236","Democratic Republic of the Congo"," Female","60to69",13.8
"1237","Denmark"," Both sexes","60to69",17.1
"1238","Denmark"," Male","60to69",23.9
"1239","Denmark"," Female","60to69",10.5
"1240","Djibouti"," Both sexes","60to69",17.5
"1241","Djibouti"," Male","60to69",24.1
"1242","Djibouti"," Female","60to69",11.6
"1243","Dominican Republic"," Both sexes","60to69",15.4
"1244","Dominican Republic"," Male","60to69",27.1
"1245","Dominican Republic"," Female","60to69",4.3
"1246","Ecuador"," Both sexes","60to69",8.6
"1247","Ecuador"," Male","60to69",14.4
"1248","Ecuador"," Female","60to69",3.2
"1249","Egypt"," Both sexes","60to69",6
"1250","Egypt"," Male","60to69",9.4
"1251","Egypt"," Female","60to69",2.9
"1252","El Salvador"," Both sexes","60to69",11.2
"1253","El Salvador"," Male","60to69",23.5
"1254","El Salvador"," Female","60to69",2.1
"1255","Equatorial Guinea"," Both sexes","60to69",41.4
"1256","Equatorial Guinea"," Male","60to69",59
"1257","Equatorial Guinea"," Female","60to69",23.2
"1258","Eritrea"," Both sexes","60to69",38.9
"1259","Eritrea"," Male","60to69",58.4
"1260","Eritrea"," Female","60to69",21.3
"1261","Estonia"," Both sexes","60to69",21
"1262","Estonia"," Male","60to69",42.5
"1263","Estonia"," Female","60to69",5.4
"1264","Eswatini"," Both sexes","60to69",23.3
"1265","Eswatini"," Male","60to69",34.4
"1266","Eswatini"," Female","60to69",15.8
"1267","Ethiopia"," Both sexes","60to69",24.7
"1268","Ethiopia"," Male","60to69",39.4
"1269","Ethiopia"," Female","60to69",11.7
"1270","Fiji"," Both sexes","60to69",5.3
"1271","Fiji"," Male","60to69",6.1
"1272","Fiji"," Female","60to69",4.5
"1273","Finland"," Both sexes","60to69",16.5
"1274","Finland"," Male","60to69",24.7
"1275","Finland"," Female","60to69",8.8
"1276","France"," Both sexes","60to69",20.3
"1277","France"," Male","60to69",28.1
"1278","France"," Female","60to69",13
"1279","Gabon"," Both sexes","60to69",23.7
"1280","Gabon"," Male","60to69",35.7
"1281","Gabon"," Female","60to69",12.1
"1282","Gambia"," Both sexes","60to69",28.1
"1283","Gambia"," Male","60to69",32.9
"1284","Gambia"," Female","60to69",22.9
"1285","Georgia"," Both sexes","60to69",12.6
"1286","Georgia"," Male","60to69",23.2
"1287","Georgia"," Female","60to69",4.6
"1288","Germany"," Both sexes","60to69",16.1
"1289","Germany"," Male","60to69",23.2
"1290","Germany"," Female","60to69",9.4
"1291","Ghana"," Both sexes","60to69",23.6
"1292","Ghana"," Male","60to69",42.7
"1293","Ghana"," Female","60to69",6.6
"1294","Greece"," Both sexes","60to69",7.1
"1295","Greece"," Male","60to69",11.7
"1296","Greece"," Female","60to69",3
"1297","Grenada"," Both sexes","60to69",14.3
"1298","Grenada"," Male","60to69",29.4
"1299","Grenada"," Female","60to69",0
"1300","Guatemala"," Both sexes","60to69",4.1
"1301","Guatemala"," Male","60to69",7.8
"1302","Guatemala"," Female","60to69",1.1
"1303","Guinea"," Both sexes","60to69",27.8
"1304","Guinea"," Male","60to69",31.1
"1305","Guinea"," Female","60to69",24.8
"1306","Guinea-Bissau"," Both sexes","60to69",22.9
"1307","Guinea-Bissau"," Male","60to69",24.6
"1308","Guinea-Bissau"," Female","60to69",21.5
"1309","Guyana"," Both sexes","60to69",31.7
"1310","Guyana"," Male","60to69",52.1
"1311","Guyana"," Female","60to69",13.2
"1312","Haiti"," Both sexes","60to69",11.6
"1313","Haiti"," Male","60to69",19.3
"1314","Haiti"," Female","60to69",4.9
"1315","Honduras"," Both sexes","60to69",4.9
"1316","Honduras"," Male","60to69",8.4
"1317","Honduras"," Female","60to69",1.9
"1318","Hungary"," Both sexes","60to69",28.1
"1319","Hungary"," Male","60to69",48.3
"1320","Hungary"," Female","60to69",12.2
"1321","Iceland"," Both sexes","60to69",24
"1322","Iceland"," Male","60to69",37.4
"1323","Iceland"," Female","60to69",10.3
"1324","India"," Both sexes","60to69",17.5
"1325","India"," Male","60to69",21.7
"1326","India"," Female","60to69",13.3
"1327","Indonesia"," Both sexes","60to69",6.6
"1328","Indonesia"," Male","60to69",9.4
"1329","Indonesia"," Female","60to69",3.7
"1330","Iran (Islamic Republic of)"," Both sexes","60to69",4.6
"1331","Iran (Islamic Republic of)"," Male","60to69",5.9
"1332","Iran (Islamic Republic of)"," Female","60to69",3.3
"1333","Iraq"," Both sexes","60to69",5.6
"1334","Iraq"," Male","60to69",6.5
"1335","Iraq"," Female","60to69",4.8
"1336","Ireland"," Both sexes","60to69",12.4
"1337","Ireland"," Male","60to69",22
"1338","Ireland"," Female","60to69",3.1
"1339","Israel"," Both sexes","60to69",7.9
"1340","Israel"," Male","60to69",12.2
"1341","Israel"," Female","60to69",4
"1342","Italy"," Both sexes","60to69",10.2
"1343","Italy"," Male","60to69",15.7
"1344","Italy"," Female","60to69",5.1
"1345","Jamaica"," Both sexes","60to69",2.8
"1346","Jamaica"," Male","60to69",4.4
"1347","Jamaica"," Female","60to69",1.2
"1348","Japan"," Both sexes","60to69",20.8
"1349","Japan"," Male","60to69",28.9
"1350","Japan"," Female","60to69",12.9
"1351","Jordan"," Both sexes","60to69",5.8
"1352","Jordan"," Male","60to69",7.7
"1353","Jordan"," Female","60to69",4.1
"1354","Kazakhstan"," Both sexes","60to69",29.2
"1355","Kazakhstan"," Male","60to69",57.8
"1356","Kazakhstan"," Female","60to69",9.1
"1357","Kenya"," Both sexes","60to69",12.7
"1358","Kenya"," Male","60to69",21.1
"1359","Kenya"," Female","60to69",5.7
"1360","Kiribati"," Both sexes","60to69",14.5
"1361","Kiribati"," Male","60to69",23.5
"1362","Kiribati"," Female","60to69",7.2
"1363","Kuwait"," Both sexes","60to69",2.6
"1364","Kuwait"," Male","60to69",4
"1365","Kuwait"," Female","60to69",0
"1366","Kyrgyzstan"," Both sexes","60to69",10.4
"1367","Kyrgyzstan"," Male","60to69",18.1
"1368","Kyrgyzstan"," Female","60to69",4.4
"1369","Lao People's Democratic Republic"," Both sexes","60to69",11.7
"1370","Lao People's Democratic Republic"," Male","60to69",16.9
"1371","Lao People's Democratic Republic"," Female","60to69",7.1
"1372","Latvia"," Both sexes","60to69",25.6
"1373","Latvia"," Male","60to69",46.5
"1374","Latvia"," Female","60to69",11.1
"1375","Lebanon"," Both sexes","60to69",5.7
"1376","Lebanon"," Male","60to69",8.1
"1377","Lebanon"," Female","60to69",3.2
"1378","Lesotho"," Both sexes","60to69",55.4
"1379","Lesotho"," Male","60to69",33.1
"1380","Lesotho"," Female","60to69",69.9
"1381","Liberia"," Both sexes","60to69",45.3
"1382","Liberia"," Male","60to69",39.8
"1383","Liberia"," Female","60to69",50.1
"1384","Libya"," Both sexes","60to69",7.2
"1385","Libya"," Male","60to69",11.6
"1386","Libya"," Female","60to69",3.1
"1387","Lithuania"," Both sexes","60to69",40.4
"1388","Lithuania"," Male","60to69",78.5
"1389","Lithuania"," Female","60to69",13.3
"1390","Luxembourg"," Both sexes","60to69",21.1
"1391","Luxembourg"," Male","60to69",28.9
"1392","Luxembourg"," Female","60to69",13.1
"1393","Madagascar"," Both sexes","60to69",18.4
"1394","Madagascar"," Male","60to69",27
"1395","Madagascar"," Female","60to69",10.7
"1396","Malawi"," Both sexes","60to69",19.8
"1397","Malawi"," Male","60to69",33.9
"1398","Malawi"," Female","60to69",9.5
"1399","Malaysia"," Both sexes","60to69",15.8
"1400","Malaysia"," Male","60to69",21.9
"1401","Malaysia"," Female","60to69",9.7
"1402","Maldives"," Both sexes","60to69",5.7
"1403","Maldives"," Male","60to69",7.8
"1404","Maldives"," Female","60to69",3.4
"1405","Mali"," Both sexes","60to69",20.8
"1406","Mali"," Male","60to69",30
"1407","Mali"," Female","60to69",13.4
"1408","Malta"," Both sexes","60to69",3.8
"1409","Malta"," Male","60to69",6.8
"1410","Malta"," Female","60to69",1
"1411","Mauritania"," Both sexes","60to69",20.7
"1412","Mauritania"," Male","60to69",32
"1413","Mauritania"," Female","60to69",10.9
"1414","Mauritius"," Both sexes","60to69",6.4
"1415","Mauritius"," Male","60to69",11.9
"1416","Mauritius"," Female","60to69",1.5
"1417","Mexico"," Both sexes","60to69",6.1
"1418","Mexico"," Male","60to69",10.7
"1419","Mexico"," Female","60to69",1.9
"1420","Micronesia (Federated States of)"," Both sexes","60to69",13.8
"1421","Micronesia (Federated States of)"," Male","60to69",19.7
"1422","Micronesia (Federated States of)"," Female","60to69",8.2
"1423","Mongolia"," Both sexes","60to69",12.5
"1424","Mongolia"," Male","60to69",20.4
"1425","Mongolia"," Female","60to69",6.1
"1426","Montenegro"," Both sexes","60to69",17.9
"1427","Montenegro"," Male","60to69",27.7
"1428","Montenegro"," Female","60to69",9
"1429","Morocco"," Both sexes","60to69",4.6
"1430","Morocco"," Male","60to69",3.1
"1431","Morocco"," Female","60to69",6
"1432","Mozambique"," Both sexes","60to69",17.1
"1433","Mozambique"," Male","60to69",25.5
"1434","Mozambique"," Female","60to69",10.4
"1435","Myanmar"," Both sexes","60to69",11.7
"1436","Myanmar"," Male","60to69",10.8
"1437","Myanmar"," Female","60to69",12.4
"1438","Namibia"," Both sexes","60to69",19.7
"1439","Namibia"," Male","60to69",32.7
"1440","Namibia"," Female","60to69",10.6
"1441","Nepal"," Both sexes","60to69",12.5
"1442","Nepal"," Male","60to69",17.6
"1443","Nepal"," Female","60to69",8.1
"1444","Netherlands"," Both sexes","60to69",17.3
"1445","Netherlands"," Male","60to69",23.3
"1446","Netherlands"," Female","60to69",11.4
"1447","New Zealand"," Both sexes","60to69",8.1
"1448","New Zealand"," Male","60to69",12.7
"1449","New Zealand"," Female","60to69",3.8
"1450","Nicaragua"," Both sexes","60to69",8.2
"1451","Nicaragua"," Male","60to69",15.5
"1452","Nicaragua"," Female","60to69",2.4
"1453","Niger"," Both sexes","60to69",22.8
"1454","Niger"," Male","60to69",26.5
"1455","Niger"," Female","60to69",18.8
"1456","Nigeria"," Both sexes","60to69",48.8
"1457","Nigeria"," Male","60to69",41.7
"1458","Nigeria"," Female","60to69",55.4
"1459","Norway"," Both sexes","60to69",16.3
"1460","Norway"," Male","60to69",20.9
"1461","Norway"," Female","60to69",11.7
"1462","Oman"," Both sexes","60to69",3.3
"1463","Oman"," Male","60to69",4.7
"1464","Oman"," Female","60to69",1.7
"1465","Pakistan"," Both sexes","60to69",2.9
"1466","Pakistan"," Male","60to69",3.2
"1467","Pakistan"," Female","60to69",2.7
"1468","Panama"," Both sexes","60to69",4.2
"1469","Panama"," Male","60to69",8.1
"1470","Panama"," Female","60to69",0.6
"1471","Papua New Guinea"," Both sexes","60to69",10.6
"1472","Papua New Guinea"," Male","60to69",15.3
"1473","Papua New Guinea"," Female","60to69",6.5
"1474","Paraguay"," Both sexes","60to69",8.3
"1475","Paraguay"," Male","60to69",12.8
"1476","Paraguay"," Female","60to69",3.7
"1477","Peru"," Both sexes","60to69",8.3
"1478","Peru"," Male","60to69",14.1
"1479","Peru"," Female","60to69",3.1
"1480","Philippines"," Both sexes","60to69",4.1
"1481","Philippines"," Male","60to69",7.2
"1482","Philippines"," Female","60to69",1.3
"1483","Poland"," Both sexes","60to69",21.7
"1484","Poland"," Male","60to69",40.1
"1485","Poland"," Female","60to69",6.3
"1486","Portugal"," Both sexes","60to69",18.1
"1487","Portugal"," Male","60to69",29.6
"1488","Portugal"," Female","60to69",8.2
"1489","Qatar"," Both sexes","60to69",10.7
"1490","Qatar"," Male","60to69",12.6
"1491","Qatar"," Female","60to69",3.7
"1492","Republic of Korea"," Both sexes","60to69",34.2
"1493","Republic of Korea"," Male","60to69",54.2
"1494","Republic of Korea"," Female","60to69",15.5
"1495","Republic of Moldova"," Both sexes","60to69",26.9
"1496","Republic of Moldova"," Male","60to69",51.3
"1497","Republic of Moldova"," Female","60to69",8.7
"1498","Republic of North Macedonia"," Both sexes","60to69",12.9
"1499","Republic of North Macedonia"," Male","60to69",19.5
"1500","Republic of North Macedonia"," Female","60to69",6.9
"1501","Romania"," Both sexes","60to69",16.4
"1502","Romania"," Male","60to69",30.1
"1503","Romania"," Female","60to69",5.2
"1504","Russian Federation"," Both sexes","60to69",30.8
"1505","Russian Federation"," Male","60to69",61.4
"1506","Russian Federation"," Female","60to69",9.8
"1507","Rwanda"," Both sexes","60to69",24.3
"1508","Rwanda"," Male","60to69",35.3
"1509","Rwanda"," Female","60to69",15.1
"1510","Saint Lucia"," Both sexes","60to69",12.3
"1511","Saint Lucia"," Male","60to69",25.4
"1512","Saint Lucia"," Female","60to69",0
"1513","Saint Vincent and the Grenadines"," Both sexes","60to69",2.7
"1514","Saint Vincent and the Grenadines"," Male","60to69",5.4
"1515","Saint Vincent and the Grenadines"," Female","60to69",0
"1516","Samoa"," Both sexes","60to69",12.6
"1517","Samoa"," Male","60to69",20.4
"1518","Samoa"," Female","60to69",5.2
"1519","Sao Tome and Principe"," Both sexes","60to69",4.9
"1520","Sao Tome and Principe"," Male","60to69",7.3
"1521","Sao Tome and Principe"," Female","60to69",3.1
"1522","Saudi Arabia"," Both sexes","60to69",6.2
"1523","Saudi Arabia"," Male","60to69",8.1
"1524","Saudi Arabia"," Female","60to69",3.3
"1525","Senegal"," Both sexes","60to69",33.7
"1526","Senegal"," Male","60to69",56.4
"1527","Senegal"," Female","60to69",16.3
"1528","Serbia"," Both sexes","60to69",22.2
"1529","Serbia"," Male","60to69",35.4
"1530","Serbia"," Female","60to69",10.6
"1531","Seychelles"," Both sexes","60to69",16.8
"1532","Seychelles"," Male","60to69",30.4
"1533","Seychelles"," Female","60to69",3.5
"1534","Sierra Leone"," Both sexes","60to69",39.3
"1535","Sierra Leone"," Male","60to69",37.7
"1536","Sierra Leone"," Female","60to69",40.8
"1537","Singapore"," Both sexes","60to69",15.6
"1538","Singapore"," Male","60to69",22.8
"1539","Singapore"," Female","60to69",8.6
"1540","Slovakia"," Both sexes","60to69",17.6
"1541","Slovakia"," Male","60to69",32.4
"1542","Slovakia"," Female","60to69",5.2
"1543","Slovenia"," Both sexes","60to69",26.7
"1544","Slovenia"," Male","60to69",41
"1545","Slovenia"," Female","60to69",12.8
"1546","Solomon Islands"," Both sexes","60to69",8.9
"1547","Solomon Islands"," Male","60to69",12.9
"1548","Solomon Islands"," Female","60to69",5
"1549","Somalia"," Both sexes","60to69",18.4
"1550","Somalia"," Male","60to69",23.3
"1551","Somalia"," Female","60to69",13.4
"1552","South Africa"," Both sexes","60to69",23.9
"1553","South Africa"," Male","60to69",41.7
"1554","South Africa"," Female","60to69",10.4
"1555","South Sudan"," Both sexes","60to69",14.4
"1556","South Sudan"," Male","60to69",18.2
"1557","South Sudan"," Female","60to69",10.9
"1558","Spain"," Both sexes","60to69",10.6
"1559","Spain"," Male","60to69",15.9
"1560","Spain"," Female","60to69",5.8
"1561","Sri Lanka"," Both sexes","60to69",19
"1562","Sri Lanka"," Male","60to69",32.2
"1563","Sri Lanka"," Female","60to69",7.8
"1564","Sudan"," Both sexes","60to69",5.7
"1565","Sudan"," Male","60to69",8.6
"1566","Sudan"," Female","60to69",3
"1567","Suriname"," Both sexes","60to69",34.1
"1568","Suriname"," Male","60to69",58.7
"1569","Suriname"," Female","60to69",13
"1570","Sweden"," Both sexes","60to69",17.3
"1571","Sweden"," Male","60to69",23.5
"1572","Sweden"," Female","60to69",11.1
"1573","Switzerland"," Both sexes","60to69",21.5
"1574","Switzerland"," Male","60to69",30.3
"1575","Switzerland"," Female","60to69",13
"1576","Syrian Arab Republic"," Both sexes","60to69",2.7
"1577","Syrian Arab Republic"," Male","60to69",4
"1578","Syrian Arab Republic"," Female","60to69",1.5
"1579","Tajikistan"," Both sexes","60to69",7.6
"1580","Tajikistan"," Male","60to69",10.6
"1581","Tajikistan"," Female","60to69",4.8
"1582","Thailand"," Both sexes","60to69",17.8
"1583","Thailand"," Male","60to69",26.1
"1584","Thailand"," Female","60to69",10.6
"1585","Timor-Leste"," Both sexes","60to69",11.5
"1586","Timor-Leste"," Male","60to69",15.3
"1587","Timor-Leste"," Female","60to69",7.8
"1588","Togo"," Both sexes","60to69",43.3
"1589","Togo"," Male","60to69",54.7
"1590","Togo"," Female","60to69",33
"1591","Tonga"," Both sexes","60to69",8.1
"1592","Tonga"," Male","60to69",10.8
"1593","Tonga"," Female","60to69",6
"1594","Trinidad and Tobago"," Both sexes","60to69",16.9
"1595","Trinidad and Tobago"," Male","60to69",28
"1596","Trinidad and Tobago"," Female","60to69",6.6
"1597","Tunisia"," Both sexes","60to69",5.9
"1598","Tunisia"," Male","60to69",7.6
"1599","Tunisia"," Female","60to69",4.3
"1600","Turkey"," Both sexes","60to69",3
"1601","Turkey"," Male","60to69",4.9
"1602","Turkey"," Female","60to69",1.5
"1603","Turkmenistan"," Both sexes","60to69",8.2
"1604","Turkmenistan"," Male","60to69",13.3
"1605","Turkmenistan"," Female","60to69",4.1
"1606","Uganda"," Both sexes","60to69",47.8
"1607","Uganda"," Male","60to69",41.9
"1608","Uganda"," Female","60to69",52.2
"1609","Ukraine"," Both sexes","60to69",25
"1610","Ukraine"," Male","60to69",51.3
"1611","Ukraine"," Female","60to69",7.2
"1612","United Arab Emirates"," Both sexes","60to69",4.4
"1613","United Arab Emirates"," Male","60to69",5.6
"1614","United Arab Emirates"," Female","60to69",1.6
"1615","United Kingdom of Great Britain and Northern Ireland"," Both sexes","60to69",8.5
"1616","United Kingdom of Great Britain and Northern Ireland"," Male","60to69",13
"1617","United Kingdom of Great Britain and Northern Ireland"," Female","60to69",4.2
"1618","United Republic of Tanzania"," Both sexes","60to69",22.6
"1619","United Republic of Tanzania"," Male","60to69",32.6
"1620","United Republic of Tanzania"," Female","60to69",14.4
"1621","United States of America"," Both sexes","60to69",17.9
"1622","United States of America"," Male","60to69",27.9
"1623","United States of America"," Female","60to69",8.8
"1624","Uruguay"," Both sexes","60to69",23.6
"1625","Uruguay"," Male","60to69",39
"1626","Uruguay"," Female","60to69",10.4
"1627","Uzbekistan"," Both sexes","60to69",7.1
"1628","Uzbekistan"," Male","60to69",12.8
"1629","Uzbekistan"," Female","60to69",2.2
"1630","Vanuatu"," Both sexes","60to69",8.2
"1631","Vanuatu"," Male","60to69",12.1
"1632","Vanuatu"," Female","60to69",4.3
"1633","Venezuela (Bolivarian Republic of)"," Both sexes","60to69",5.7
"1634","Venezuela (Bolivarian Republic of)"," Male","60to69",10.3
"1635","Venezuela (Bolivarian Republic of)"," Female","60to69",1.5
"1636","Viet Nam"," Both sexes","60to69",14.8
"1637","Viet Nam"," Male","60to69",20.6
"1638","Viet Nam"," Female","60to69",10.1
"1639","Yemen"," Both sexes","60to69",8.3
"1640","Yemen"," Male","60to69",11.9
"1641","Yemen"," Female","60to69",4.9
"1642","Zambia"," Both sexes","60to69",25.8
"1643","Zambia"," Male","60to69",38.7
"1644","Zambia"," Female","60to69",16
"1645","Zimbabwe"," Both sexes","60to69",41.3
"1646","Zimbabwe"," Male","60to69",62.8
"1647","Zimbabwe"," Female","60to69",26.4
"1648","Afghanistan"," Both sexes","50to59",5.6
"1649","Afghanistan"," Male","50to59",9.3
"1650","Afghanistan"," Female","50to59",1.6
"1651","Albania"," Both sexes","50to59",7.8
"1652","Albania"," Male","50to59",11.4
"1653","Albania"," Female","50to59",4.4
"1654","Algeria"," Both sexes","50to59",4.1
"1655","Algeria"," Male","50to59",6.2
"1656","Algeria"," Female","50to59",2
"1657","Angola"," Both sexes","50to59",14.8
"1658","Angola"," Male","50to59",21.8
"1659","Angola"," Female","50to59",8.6
"1660","Antigua and Barbuda"," Both sexes","50to59",0
"1661","Antigua and Barbuda"," Male","50to59",0
"1662","Antigua and Barbuda"," Female","50to59",0
"1663","Argentina"," Both sexes","50to59",9.5
"1664","Argentina"," Male","50to59",15.1
"1665","Argentina"," Female","50to59",4.3
"1666","Armenia"," Both sexes","50to59",8.4
"1667","Armenia"," Male","50to59",15.9
"1668","Armenia"," Female","50to59",2.6
"1669","Australia"," Both sexes","50to59",18.2
"1670","Australia"," Male","50to59",27.5
"1671","Australia"," Female","50to59",9
"1672","Austria"," Both sexes","50to59",23.1
"1673","Austria"," Male","50to59",33.1
"1674","Austria"," Female","50to59",13.2
"1675","Azerbaijan"," Both sexes","50to59",4.1
"1676","Azerbaijan"," Male","50to59",7
"1677","Azerbaijan"," Female","50to59",1.4
"1678","Bahamas"," Both sexes","50to59",2.6
"1679","Bahamas"," Male","50to59",4.6
"1680","Bahamas"," Female","50to59",0.8
"1681","Bahrain"," Both sexes","50to59",4.8
"1682","Bahrain"," Male","50to59",6.5
"1683","Bahrain"," Female","50to59",1.9
"1684","Bangladesh"," Both sexes","50to59",4.9
"1685","Bangladesh"," Male","50to59",6.2
"1686","Bangladesh"," Female","50to59",3.6
"1687","Barbados"," Both sexes","50to59",0.3
"1688","Barbados"," Male","50to59",0.6
"1689","Barbados"," Female","50to59",0
"1690","Belarus"," Both sexes","50to59",39.9
"1691","Belarus"," Male","50to59",75.9
"1692","Belarus"," Female","50to59",9.5
"1693","Belgium"," Both sexes","50to59",32.3
"1694","Belgium"," Male","50to59",41.8
"1695","Belgium"," Female","50to59",22.7
"1696","Belize"," Both sexes","50to59",10.5
"1697","Belize"," Male","50to59",17.8
"1698","Belize"," Female","50to59",3
"1699","Benin"," Both sexes","50to59",24.5
"1700","Benin"," Male","50to59",33
"1701","Benin"," Female","50to59",16.7
"1702","Bhutan"," Both sexes","50to59",16.3
"1703","Bhutan"," Male","50to59",18.9
"1704","Bhutan"," Female","50to59",13.2
"1705","Bolivia (Plurinational State of)"," Both sexes","50to59",15
"1706","Bolivia (Plurinational State of)"," Male","50to59",20
"1707","Bolivia (Plurinational State of)"," Female","50to59",10.1
"1708","Bosnia and Herzegovina"," Both sexes","50to59",12.3
"1709","Bosnia and Herzegovina"," Male","50to59",19.3
"1710","Bosnia and Herzegovina"," Female","50to59",5.4
"1711","Botswana"," Both sexes","50to59",20.3
"1712","Botswana"," Male","50to59",31.5
"1713","Botswana"," Female","50to59",11.2
"1714","Brazil"," Both sexes","50to59",9.3
"1715","Brazil"," Male","50to59",14.6
"1716","Brazil"," Female","50to59",4.5
"1717","Brunei Darussalam"," Both sexes","50to59",7.2
